DEBUG | 2024-10-06 16:54:39,654 | result is 12345678
DEBUG | 2024-10-06 16:54:39,972 | server is closed
DEBUG | 2024-10-06 16:57:04,185 | ********************************************************
DEBUG | 2024-10-06 16:57:04,185 | [LISTENING] Server is listening on 127.0.0.1:5555
DEBUG | 2024-10-06 16:57:06,601 | [NEW CONNECTION] ('127.0.0.1', 50083) connected.
DEBUG | 2024-10-06 16:57:06,601 | [ACTIVE CONNECTIONS] 1
DEBUG | 2024-10-06 16:57:12,194 | server is closed
DEBUG | 2024-10-06 16:57:13,661 | ********************************************************
DEBUG | 2024-10-06 16:57:13,661 | [LISTENING] Server is listening on 127.0.0.1:5555
DEBUG | 2024-10-06 16:57:15,948 | [NEW CONNECTION] ('127.0.0.1', 50086) connected.
DEBUG | 2024-10-06 16:57:15,948 | [ACTIVE CONNECTIONS] 1
DEBUG | 2024-10-06 16:57:32,624 | result is 12345678
DEBUG | 2024-10-06 16:57:32,704 | server is closed
DEBUG | 2024-10-06 16:57:50,798 | ********************************************************
DEBUG | 2024-10-06 16:57:50,799 | [LISTENING] Server is listening on 127.0.0.1:5555
DEBUG | 2024-10-06 16:57:52,485 | [NEW CONNECTION] ('127.0.0.1', 50215) connected.
DEBUG | 2024-10-06 16:57:52,485 | [ACTIVE CONNECTIONS] 1
DEBUG | 2024-10-06 16:58:09,253 | server is closed
DEBUG | 2024-10-06 16:58:10,023 | ********************************************************
DEBUG | 2024-10-06 16:58:10,023 | [LISTENING] Server is listening on 127.0.0.1:5555
DEBUG | 2024-10-06 16:58:12,095 | [NEW CONNECTION] ('127.0.0.1', 50227) connected.
DEBUG | 2024-10-06 16:58:12,095 | [ACTIVE CONNECTIONS] 1
DEBUG | 2024-10-06 16:58:20,742 | server is closed
DEBUG | 2024-10-06 16:58:23,854 | ********************************************************
DEBUG | 2024-10-06 16:58:23,854 | [LISTENING] Server is listening on 127.0.0.1:5555
DEBUG | 2024-10-06 16:58:26,660 | [NEW CONNECTION] ('127.0.0.1', 50230) connected.
DEBUG | 2024-10-06 16:58:26,660 | [ACTIVE CONNECTIONS] 1
DEBUG | 2024-10-06 16:58:33,015 | [NEW CONNECTION] ('127.0.0.1', 50231) connected.
DEBUG | 2024-10-06 16:58:33,015 | [ACTIVE CONNECTIONS] 2
DEBUG | 2024-10-06 16:59:36,451 | result is 123456789
DEBUG | 2024-10-06 16:59:36,910 | server is closed
